,test_data_pct,learning_rate,bert_type,epochs,batch_size,max_len,device,data_file,timestamp,training duration,initial train,initial test,final train,final test,Epoch 1 Train,Epoch 1 Test,Epoch 2 Train,Epoch 2 Test,Epoch 3 Train,Epoch 3 Test,Epoch 4 Train,Epoch 4 Test,Epoch 5 Train,Epoch 5 Test,Epoch 6 Train,Epoch 6 Test,Epoch 7 Train,Epoch 7 Test,Epoch 8 Train,Epoch 8 Test,Epoch 9 Train,Epoch 9 Test,Epoch 10 Train,Epoch 10 Test,Epoch 11 Train,Epoch 11 Test,Epoch 12 Train,Epoch 12 Test,Epoch 13 Train,Epoch 13 Test,Epoch 14 Train,Epoch 14 Test,Epoch 15 Train,Epoch 15 Test,initial train precision,initial train recall,initial train f1-score,initial train support,initial train accuracy,initial train perplexity,initial test precision,initial test recall,initial test f1-score,initial test support,initial test accuracy,initial test perplexity,Epoch 0 precision,Epoch 0 recall,Epoch 0 f1-score,Epoch 0 support,Epoch 0 accuracy,Epoch 0 perplexity,Epoch 1 precision,Epoch 1 recall,Epoch 1 f1-score,Epoch 1 support,Epoch 1 accuracy,Epoch 1 perplexity,Epoch 2 precision,Epoch 2 recall,Epoch 2 f1-score,Epoch 2 support,Epoch 2 accuracy,Epoch 2 perplexity,Epoch 3 precision,Epoch 3 recall,Epoch 3 f1-score,Epoch 3 support,Epoch 3 accuracy,Epoch 3 perplexity,Epoch 4 precision,Epoch 4 recall,Epoch 4 f1-score,Epoch 4 support,Epoch 4 accuracy,Epoch 4 perplexity,Epoch 5 precision,Epoch 5 recall,Epoch 5 f1-score,Epoch 5 support,Epoch 5 accuracy,Epoch 5 perplexity,Epoch 6 precision,Epoch 6 recall,Epoch 6 f1-score,Epoch 6 support,Epoch 6 accuracy,Epoch 6 perplexity,Epoch 7 precision,Epoch 7 recall,Epoch 7 f1-score,Epoch 7 support,Epoch 7 accuracy,Epoch 7 perplexity,Epoch 8 precision,Epoch 8 recall,Epoch 8 f1-score,Epoch 8 support,Epoch 8 accuracy,Epoch 8 perplexity,initial train train  precision,initial train train  recall,initial train train  f1-score,initial train train  support,initial train train  accuracy,initial train train  perplexity,initial test test  precision,initial test test  recall,initial test test  f1-score,initial test test  support,initial test test  accuracy,initial test test  perplexity,Epoch 0 train  precision,Epoch 0 train  recall,Epoch 0 train  f1-score,Epoch 0 train  support,Epoch 0 train  accuracy,Epoch 0 train  perplexity,Epoch 1 train  precision,Epoch 1 train  recall,Epoch 1 train  f1-score,Epoch 1 train  support,Epoch 1 train  accuracy,Epoch 1 train  perplexity,Epoch 2 train  precision,Epoch 2 train  recall,Epoch 2 train  f1-score,Epoch 2 train  support,Epoch 2 train  accuracy,Epoch 2 train  perplexity,Epoch 3 train  precision,Epoch 3 train  recall,Epoch 3 train  f1-score,Epoch 3 train  support,Epoch 3 train  accuracy,Epoch 3 train  perplexity,Epoch 4 train  precision,Epoch 4 train  recall,Epoch 4 train  f1-score,Epoch 4 train  support,Epoch 4 train  accuracy,Epoch 4 train  perplexity,Epoch 5 train  precision,Epoch 5 train  recall,Epoch 5 train  f1-score,Epoch 5 train  support,Epoch 5 train  accuracy,Epoch 5 train  perplexity,Epoch 6 train  precision,Epoch 6 train  recall,Epoch 6 train  f1-score,Epoch 6 train  support,Epoch 6 train  accuracy,Epoch 6 train  perplexity,Epoch 7 train  precision,Epoch 7 train  recall,Epoch 7 train  f1-score,Epoch 7 train  support,Epoch 7 train  accuracy,Epoch 7 train  perplexity,Epoch 8 train  precision,Epoch 8 train  recall,Epoch 8 train  f1-score,Epoch 8 train  support,Epoch 8 train  accuracy,Epoch 8 train  perplexity
0,0.8,1e-05,distilbert,0,64,50,dereks_desktop,shuffled_data.csv,1689112312_709919,0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8,1e-05,distilbert,2,64,50,dereks_desktop,shuffled_data.csv,1689115123_2748365,0:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8,1e-05,distilbert,0,64,5,dereks_desktop,shuffled_data.csv,1689125041_4645019,0:0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.8,1e-05,albert,0,64,5,dereks_desktop,shuffled_data.csv,1689125070_1014593,0:0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.8,1e-05,distilbert,1,64,5,dereks_desktop,shuffled_data.csv,1689125743_5276573,0:4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8,1e-05,tinybert,1,64,5,dereks_desktop,shuffled_data.csv,1689126304_0838249,0:4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.8,1e-05,tinybert,9,64,100,dereks_desktop,shuffled_data.csv,1689285469_4161174,0:43,,"tensor(0.4914, device='cuda:0')",,"tensor(0.9851, device='cuda:0')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.8,0.0001,tinybert,0,64,130,dereks_desktop,shuffled_data.csv,1689296851_1885235,0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.8,0.0001,tinybert,0,64,130,dereks_desktop,shuffled_data.csv,1689297076_358543,0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.8,0.0001,tinybert,9,64,150,dereks_desktop,shuffled_data.csv,1689300836_869866,0:48,,,,0.9991000294685364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1689308412_7489612,1:23,,,,0.9996166825294495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.8,0.0001,tinybert,15,64,200,dereks_desktop,shuffled_data.csv,1690066039_8666599,6:27,0.4611666798591614,0.4574333429336548,,,0.9854333400726318,0.9669583439826964,0.9933500289916992,0.9631041884422302,0.9971500039100648,0.9643250107765198,0.9645000100135804,0.9211916923522948,0.9989833235740662,0.9645333290100098,0.9987166523933412,0.9618417024612428,0.9996333718299866,0.9636083245277404,0.9997166991233826,0.9631167054176332,0.9997000098228456,0.9618291854858398,0.999750018119812,0.9612125158309937,0.9998999834060668,0.9642333388328552,0.9999833703041076,0.9650333523750304,0.998283326625824,0.95270836353302,0.9993000030517578,0.9605916738510132,0.9991333484649658,0.9573041796684264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
